,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
3308,165,MT,111508,E,"30,0",0,,"2,55391","2,43617","0,11117",CINZA,PROVA CINZA PPL,,,2021,"743,6196804046631",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111508.png,"Questão 165 enemaz,

Black Friday é uma tradição norte-americana
que consiste numa queda de preços de uma grande
variedade de produtos disponíveis para venda na
última sexta-feira do mês de novembro. No Brasil, em
muitas lojas, essa prática se estende por todo esse
mês. Para esse período, o gerente de uma loja de
produtos eletrônicos que tem 5 vendedores estabelece
uma meta de vendas de computadores para um total
mínimo de 605 unidades. Ele considera que a média de
vendas de computadores dos 5 vendedores juntos neste
ano se manterá igual à dos últimos 5 anos, conforme
apresentada no gráfico. Considere que a participação
de cada vendedor na obtenção da meta seja igual.

Vendas de computadores nos últimos 5 anos.

525

430 1.280

Quantidade de unidades
vendidas

2020 2015 2018 2017 2016
Ano

Para que a meta da loja seja atingida, o gerente deverá

estipular, para cada vendedor, um aumento na média de

vendas de, no mínimo, quantas unidades?

o 15
","792,0401096343994","918,8787937164308","55,56",0,1
"(20.0, 1286)",176,MT,48223,B,"20,0",0,,"2,24873","1,70422","0,17961",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"670,4204082489014",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/48223.png,"QUESTÃO 176

Um reservatório é abastecido com água por uma
torneira e um ralo faz a drenagem da água desse
reservatório. Os gráficos representam as vazões Q,
em litro por minuto, do volume de água que entra no
reservatório pela tomeira e do volume que sai pelo ralo,
em função do tempo t, em minuto.

o tam q Etr)
ao tumeta ao sab

ia teto [O 6 ao asi

Em qual intervalo de tempo, em minuto, o reservatório
tem Uma vazão constante de enchimento?

O Deoa1o
O De5a10.
O De5a15
O De15a25
O De0a25
","720,7624912261963","865,8616542816162","58,98",0,1
"(11.0, 2877)",164,MT,111731,C,"11,0",0,,"2,61039","1,57575","0,29961",CINZA,PROVA CINZA PPL,,"0,0",2020,"657,5744152069092",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111731.png,"Questão 164 D)20enemoronenemoronenemi

Um estudante, morador da cidade de Contagem,
ouviu dizer que nessa cidade existem ruas que formam
um hexágono regular. Ao pesquisar em um sítio de
mapas, verificou que o fato é verídico, como mostra a figura.

Ele observou que o mapa apresentado na tela do
“computador estava na escala 1 : 20 000. Nesse instante,
mediu o comprimento de um dos segmentos que formam
os lados desse hexágono, encontrando 5 cm.

“Se esse estudante resolver dar uma volta completa pelas.
ruas que formam esse hexágono, ele percorrerá, em
quilômetro,
","692,7053928375244","819,7991847991943","64,98",0,1
"(27.0, 1637)",43,MT,30042,B,"27,0",0,,"0,33732","7,92092","0,19265",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"1292,0563220977783",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30042.png,"QUESTÃO 178 =ezexececececececezezezezem=

O gráfico apresenta a taxa de desemprego (em %)
para o período de março de 2008 a abril de 2009,
obtida com base nos dados observados nas regiões
metropolitanas de Recife, Salvador, Belo Horizonte,
Rio de Janeiro, São Paulo é Porto Alegre

Taxa de desemprego (%)

N Sa

FECEEEERECRERE
IBGE, Pesquisa mensal e emprego. Disponivel em: meg go

Res em 0 ja 2012 (atendo

A mediana dessa taxa de desemprego, no período de

março de 2008 a abril de 2009, foi de

O 81%

O 80%

O 7,9%

O 77%

O 76%
","1621,3910579681396","2590,1787281036377","59,63",0,1
"(23.0, 1968)",147,MT,111554,B,"23,0",0,,"2,77807","3,31893","0,28666",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"831,8870067596436",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111554.png,"QUESTÃO 147

A Ecofont possui design baseado na velha fonte
Vera Sans. Porém, ela tem um diferencial: pequenos
buraquinhoscirculares congruentes, eemtodooseucorpo,
presentes em cada símbolo. Esses furos proporcionam
um gasto de tinta menor na hora da impressão.

ecotom

OTo|

ecofont

E AR

Dipo mv go ema em 2d 2077 (ain

Suponha que a palavra ECO esteja escrita nessa fonte,
“comtamanho 192, e que seja composta por letras formadas
por quadrados de lados x com furos circulares de raio
= Para que a área a ser pintada seja reduzida a +

16
da áiea incial pretende-se reduzir o tamanho da fonts.

Sabe-se que, ao alterar o tamanho da fonte, o tamanho
da letra é alterado na mesma proporção.

Nessas condições, o tamanho adequado da fonte será

voo
E
","865,82350730896","984,994649887085","64,33",0,1
"(30.0, 1252)",159,MT,83152,B,"30,0",0,,"2,16875","2,57525","0,18866",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"757,5170993804932",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/83152.png,"QUESTÃO 159
Um posto de saúde registrou a quantidade de vacinas
aplicadas contra febre amarela nos últimos cinco meses:
+ temês:21;
* 2emês: 22;
* 3ºmês: 25;
* 4ºmês:31;
* 5ºmês:21

No início do primeiro mês, esse posto de saúíde tinha
228 vacinas contra febre amarela em estoque. A política de.
reposição do estoque prevê a aquisição de novas vacinas,
no início do sexto mês, de tal forma que a quantidade inicial
em estoque para os próximos meses seja iguala 12 vezes a
média das quantidades mensais dessas vacinas aplicadas
nos últimos cinco meses.

Para atender essas condições, a quantidade de vacinas
contra febre amarela que 0 posto de saúde deve adquirir
no início do sexto mês é

O 156

O 180.

o 192

O 264

O 288.
","809,0441226959229","959,6555233001708","59,43",0,1
"(4.0, 2384)",170,MT,32551,E,"4,0",0,,"2,53686","1,95015","0,11345",Cinza,PROVA CINZA PPL,,"0,0",2019,"695,0109004974365",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32551.png,"Questão 170

A conta de telefone de uma loja foi, nesse mês, de
R$ 200,00. O valor da assinatura mensal, já incluso
na conta, é de R$ 40,00, o qual dá direito a realizar
uma quantidade ilimitada de ligações locais para
telefones fixos. As ligações para celulares são tarifadas
separadamente. Nessa loja, são feitas somente ligações.
locais, tanto para telefones fixos quanto para celulares.
Para reduzir os custos, o gerente planeja, para o próximo
mês, uma conta de telefone com valor de R$ 80,00.
Para que esse planejamento se cumpra, a redução
percentual com gastos em ligações para celulares nessa
loja deverá ser de

O 2%
O 40%
O 50%
O 60%
e 75%

","743,6316013336182","871,3524341583252","55,67",0,1
"(17.0, 2318)",137,MT,117612,B,"17,0",0,,"1,94459","2,78766","0,16241",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"778,7649631500244",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117612.png,"Questão 137

Em um jogo on-line, cada jogador procura subir
de nível e aumentar sua experiência, que são dois
parâmetros importantes no jogo, dos quais dependem
as forças de defesa e de ataque do participante. A força
de defesa de cada jogador é diretamente proporcional ao
seu nível e ao quadrado de sua experiência, enquanto
sua força de ataque é diretamente proporcional à sua
experiência e ao quadrado do seu nível. Nenhum jogador
sabe o nível ou a experiência dos demais. Os jogadores.
iniciam o jogo no nível 1 com experiência 1 e possuem
força de ataque 2 e de defesa 1. Nesse jogo, cada
participante se movimenta em uma cidade em busca de
tesouros para aumentar sua experiência. Quando dois
deles se encontram, um deles pode desafiar o outro
para um confronto, sendo o desafiante considerado
o atacante. Compara-se então a força de ataque do
desafiante com a força de defesa do desafiado e vence
o confronto aquele cuja força for maior. O vencedor do
desafio aumenta seu nível em uma unidade. Caso haja
empate no confronto, ambos os jogadores aumentam
seus níveis em uma unidade.

Durante um jogo, o jogador, de nível 4 e experiência 5,
rá atacar o jogador Jy, de nível 2 e experiência 6.

O jogador J, venceu esse confronto porque a diferença
entre sua força de ataque e a força de defesa de seu

","838,3862972259521","1005,8538913726808","58,12",0,1
"(7.0, 2750)",146,MT,85996,E,"7,0",0,,"2,50912","1,64355","0,17506",AMARELA,MATEMATICA DIGITAL AMARELA,,"0,0",2020,"664,3502712249756",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85996.png,"Considere o guindaste mostrado nas figuras, em duas posições (1 e 2). Na posição 1, o
braço de movimentação forma um ângulo reto com o cabo de aço CB que sustenta uma esfera
metálica na sua extremidade inferior.

Na posição 2, o guindaste elevou seu braço de movimentação e o novo ângulo formado
entre o braço e o cabo de aço ED, que sustenta a bola metálica, é agora igual a 60º.

Posição 1 Posição?

Assuma que os pontos À, & e C, na posição 1, formam o triângulo T; e que os pontos A, D
e E, na posição 2, formam o triângulo Ta, os quais podem ser classificados em obtusângulo,
retângulo ou acutângulo, e também em equilátero, isósceles ou escaleno.

Segundo as classificações citadas, os triângulos Ty e To são identificados, respectivamente,
como

(8) retângulo escaleno e retângulo isósceles.
acutângulo escaleno e retângulo isósceles,
retângulo escaleno e acutânguloescaleno.

acutângulo escaleno e acutângulo equilátero.

00060

retângulo escaleno e acutângulo equilátero.
","709,7618579864502","839,735746383667","58,75",0,1
"(10.0, 421)",137,MT,41058,E,"10,0",0,,"1,28222","1,73128","0,1263",Cinza,PROVA CINZA REGULAR,,,2014,"673,1455326080322",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/41058.png,"QUESTÃO 137

A maior piscina do mundo, registrada no livro Guiness,
está localizada no Chile, em San Alfonso del Mar, cobrindo
um terreno de 8 hectares de área.

Sabe-se que 1 hectare corresponde a 1 hectômetro
quadrado,

Qual é o valor, em metros quadrados, da área coberta
pelo terreno da piscina?

os

os

o s00

O 8000

€ 20000
","767,8430080413818","1020,855188369751","56,32",0,1
"(27.0, 2000)",163,MT,32905,D,"27,0",0,,"2,18007","1,80201","0,15123",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"680,1979541778564",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32905.png,"QUESTÃO 163

A Comissão Intema de Prevenção de Acidentes
(CIPA) de uma empresa, observando os altos custos
“com os frequentes acidentes de trabalho ocorridos, fez, a
pedido da diretoria, uma pesquisa do número de acidentes
Sofridos por funcionários. Essa pesquisa, realizada com
uma amostra de 100 funcionários, norteará as ações da
empresa na política de segurança no trabalho.
Os resultados obtidos estão no quadro.

Número de Número de
acidentes sofridos trabalhadores

o El

1 17

2 15

3 10

4 6

5 2

A média do número de acidentes por funcionário na
“amostra que a CIPA apresentará à diretoria da empresa é

0,15.
0,30.
0,50.
im
222.

voo
","734,1783046722412","883,375883102417","57,56",0,1
3642,144,MT,96344,B,"29,0",0,,"0,9071","0,82822","0,19843",CINZA,PROVA CINZA PPL,,"0,0",2022,"582,8135013580322",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/96344.png,"QUESTÃO 144

Uma empresa tem cinco setores, cada um com quatro
funcionários, sendo que cada funcionário de um setor tem
um cargo diferente. O quadro apresenta os salários, em
real, dos funcionários de cada um desses setores, por
cargo.

Salário | Salário | Salário | Salário
Setor | parao | parao | parao | parao
cargo 1 | cargo2 | cargo3 | cargo4

(R$) (R$) (R$) (R$)

1 | 1.550,00 | 1140,00 | 1140,00 | 1 150,00
1! | 1.100,00 | 1.100,00 | 1.520,00 | 1 200,00
HW | 1.050,00 | 1.050,00 | 1.600,00 | 2 000,00
IV | 1.300,00 | 1.160,00 | 1.280,00 | 1.280,00
V. | 1.250,00 | 1.300,00 | 1.300,00 | 1150,00

A empresa pretende incentivar a qualificação
profissional, oferecendo cursos gratuitos para os
funcionários de todos os cinco setores. Entretanto, o
primeiro curso será oferecido aos funcionários do setor
que apresenta a menor média salarial por cargo.

O primeiro curso será oferecido aos funcionários do
setor

ol
oi
ein
oi
ev
","704,2233943939209","1064,7361278533936","59,92",0,1
1211,139,MT,32686,C,"20,0",0,,"1,66308","1,89621","0,13493",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"689,6297931671143",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32686.png,"QUESTÃO 139

Uma cisterna de 6 000 L foi esvaziada em um período
de 3 h. Na primeira hora foi utilizada apenas uma bomba,
mas nas duas horas seguintes, a fim de reduzir o tempo
de esvaziamento, outra bomba foi ligada junto com a
primeira. O gráfico, formado por dois segmentos de reta,
mostra o volume de água presente na cistema, em função
do tempo.

Volume (L)

emo
5000

c
o 1 3 Tempo(y)

Qual é a vazão, em litro por hora, da bomba que foi ligada
no início da segunda hora?

O 1000

O 1250

e 1500

O 2000

o 2500
","761,8706226348877","957,1115970611572","56,75",0,1
2374,165,MT,117783,B,"14,0",0,,"1,96646","2,01615","0,1547",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"701,6270160675049",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117783.png,"Questão 165

A bula de um antibiótico infantil, fabricado na
forma de xarope, recomenda que sejam ministrados,
diariamente, no máximo 500 mg desse medicamento
para cada quilograma de massa do paciente. Um pediatra
prescreveu a dosagem máxima desse anti para
ser ministrada diariamente a uma criança de 20 kg pelo
período de 5 dias. Esse medicamento pode ser comprado.
em frascos de 10 ml, 50 mL, 100 mL, 250 mL e 500 mL.
Os pais dessa criança decidiram comprar a quantidade.
exata de medicamento que precisará ser ministrada no
tratamento, evitando a sobra de medicamento. Considere.
que 1 g desse medicamento ocupe um volume de 1 cmê.

A capacidade do frasco, em millitro, que esses pais
deverão comprar é

01

o so

e 100.

o 250.

e 500.
","761,1839771270752","926,6488552093506","57,74",0,1
452,168,MT,48681,D,"18,0",0,,"1,61207","2,24783","0,13861",Cinza,PROVA CINZA REGULAR,,,2014,"724,7822284698486",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/48681.png,"QUESTÃO 168.

Uma lata de tinta, com a forma de um paralelepípedo
retangular reto, tem as dimensões, em centímetros,
mostradas na figura.

[a

40

54

24

Será produzida uma nova lata, com os mesmos
formato e volume, de tal modo que as dimensões de sua
base sejam 25% maiores que as da lata atual

Para obter a altura da nova lata, a altura da lata atual deve
ser reduzida em

O144%

O 200%

O 320%

O 360%

O 640%
","798,9757061004639","1000,4703998565674","56,93",0,1
434,150,MT,61793,A,"30,0",0,,"2,16526","1,53309","0,1566",Cinza,PROVA CINZA REGULAR,,,2014,"653,3091068267822",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/61793.png,"QUESTÃO 150 === mm

Ao final de uma competição de ciências em uma
escola, restaram apenas três candidatos. De acordo
com as regras, o vencedor será o candidato que obtiver
a maior média ponderada entre as notas das provas
finais nas disciplinas química e física, considerando,
respectivamente, os pesos 4 e 6 para elas. As notas
são sempre números inteiros. Por questões médicas, o
candidato Il ainda não fez a prova final de química. No dia
em que sua avaliação for aplicada, as notas dos outros
dois candidatos, em ambas as disciplinas, já terão sido
divulgadas.

O quadro apresenta as notas obtidas pelos finalistas
nas provas finais.

Candidato Química Física
l 20 23
0 x 25
mu 2 18

A menor nota que o candidato Il deverá obter na prova
final de química para vencer a competição é

18

19

2

25.

26.

voos
","707,2727680206299","857,5766086578369","57,83",0,1
